age,aced_foe_narrow,n
20-24,Accounting,18575
20-24,Aerospace Engineering and Technology,2465
20-24,Agriculture,6668
20-24,"Agriculture, Environmental and Related Studies, nfd",42
20-24,"Architecture and Building, nfd",3
20-24,Architecture and Urban Environment,7527
20-24,Automotive Engineering and Technology,14174
20-24,"Banking, Finance and Related Fields",8704
20-24,Behavioural Science,8286
20-24,Biological Sciences,4038
20-24,Building,38591
20-24,Business and Management,67783
20-24,Chemical Sciences,860
20-24,Civil Engineering,4767
20-24,Communication and Media Studies,19402
20-24,Complementary Therapies,214
20-24,Computer Science,4610
20-24,"Creative Arts, nfd",2103
20-24,Curriculum and Education Studies,0
20-24,Dental Studies,3796
20-24,Earth Sciences,934
20-24,Economics and Econometrics,3624
20-24,"Education, nfd",1755
20-24,Electrical and Electronic Engineering and Technology,20675
20-24,Employment Skills Programmes,280
20-24,"Engineering and Related Technologies, nfd",18871
20-24,Environmental Studies,2924
20-24,Field of study inadequately described,7700
20-24,Field of study not stated,9654
20-24,Fisheries Studies,154
20-24,Food and Hospitality,33033
20-24,"Food, Hospitality and Personal Services, nfd",46
20-24,Forestry Studies,47
20-24,General Education Programmes,835
20-24,Geomatic Engineering,676
20-24,Graphic and Design Studies,11358
20-24,"Health, nfd",6236
20-24,Horticulture and Viticulture,4687
20-24,Human Welfare Studies and Services,37243
20-24,Information Systems,643
20-24,"Information Technology, nfd",17440
20-24,Justice and Law Enforcement,4521
20-24,Language and Literature,4312
20-24,Law,6014
20-24,"Librarianship, Information Management and Curatorial Studies",706
20-24,"Management and Commerce, nfd",14637
20-24,Manufacturing Engineering and Technology,4102
20-24,Maritime Engineering and Technology,879
20-24,Mathematical Sciences,1452
20-24,Mechanical and Industrial Engineering and Technology,15017
20-24,Medical Studies,1964
20-24,"Mixed Field Programmes, nfd",24
20-24,"Natural and Physical Sciences, nfd",10311
20-24,Not applicable,771425
20-24,Nursing,22554
20-24,Office Studies,1899
20-24,Optical Science,488
